,Y
GTDEM2Y_diff_12w,-0.40724416301172967
GTGBP2Y_diff_26w,-0.40120483452378325
GTGBP2Y_diff_12w,-0.3899059636338293
GTDEM2Y_diff_26w,-0.37791086518573236
USGG3M_diff_104w,-0.3596614936753691
USGG3M_diff_52w,-0.3420783963411905
GTDEM2Y_diff_4w,-0.3335385358352278
GTGBP2Y_diff_52w,-0.3332713813762836
GTGBP2Y_diff_4w,-0.32506223049740307
GTGBP2Y_diff_104w,-0.30869724744976845
GTDEM10Y_diff_12w,-0.29444683778928865
GTDEM10Y_diff_26w,-0.27457496992369285
GTDEM2Y_diff_52w,-0.27203936366642595
USGG3M_diff_26w,-0.2659759904964643
EONIA_diff_12w,-0.24919087660934397
USGG3M_diff_12w,-0.23637518449967032
GTDEM10Y_diff_4w,-0.22624015944568934
GTDEM30Y_diff_12w,-0.21539007533928706
EONIA_diff_26w,-0.210924304785016
GTDEM10Y_diff_52w,-0.20474705511590732
GTDEM2Y_diff_1w,-0.20077637009528831
USGG3M_diff_4w,-0.20007146090101172
GTGBP2Y_diff_1w,-0.1962240700800974
GTDEM2Y_diff_accel_104w,-0.19452699442129406
GTJPY10YR_diff_104w,-0.19172528665145677
GTDEM2Y_diff_104w,-0.19129567886966092
GTJPY2YR_diff_26w,-0.18918828613333294
GTJPY2YR_diff_52w,-0.18227605920877163
GTJPY2YR_diff_12w,-0.18048311386984256
EONIA_diff_4w,-0.179519206187311
GTDEM30Y_diff_4w,-0.17545803688734507
GTJPY2YR_diff_104w,-0.17465320835753273
GTGBP2Y_diff_accel_104w,-0.17155294982453964
GTDEM30Y_diff_26w,-0.17047425476471892
GTJPY10YR_diff_26w,-0.16987741708242596
GTJPY10YR_diff_12w,-0.16372416179892502
GTITL2YR_diff_104w,0.16027078714333212
GTDEM10Y_diff_104w,-0.14734378292993325
GTDEM30Y_diff_52w,-0.1450111803705845
GTJPY10YR_diff_4w,-0.1358202122809753
GTJPY2YR_diff_4w,-0.13363408261783447
EONIA_diff_52w,-0.1305809415856983
GTJPY10YR_diff_52w,-0.13026566803889286
GTDEM2Y_diff_accel_26w,-0.12990583593895905
USGG3M_diff_1w,-0.12172937979767785
GTDEM10Y_diff_1w,-0.11968895780451369
GTGBP2Y_diff_accel_52w,-0.11910836522928321
USGG3M_diff_accel_104w,-0.11834671246201856
ECSURPUS_diff_26w,-0.11657560463922331
GTDEM2Y_diff_accel_52w,-0.11422602056022103
GTGBP2Y_diff_accel_26w,-0.10085336258582286
GTDEM10Y_diff_accel_104w,-0.0986593151886833
GTITL2YR_diff_52w,0.09815965965870307
GTDEM10Y_diff_accel_26w,-0.08747679252378465
GTDEM30Y_diff_1w,-0.08624945495416643
GTGBP2Y_diff_accel_12w,-0.07377377726724864
GTJPY10YR_diff_1w,-0.07293934596913287
GTDEM10Y_diff_accel_52w,-0.06885384771080162
GTJPY2YR_diff_1w,-0.06761715705403845
GTITL2YR_diff_accel_104w,-0.06721157850021045
GTDEM30Y_diff_accel_104w,-0.06695201909035177
GTDEM2Y_diff_accel_12w,-0.06618060213491855
GTDEM30Y_diff_accel_26w,-0.06478898051945259
GTJPY10YR_diff_accel_104w,-0.06441038171959293
GTJPY10YR_diff_accel_26w,-0.06433527421069131
GTDEM30Y_diff_104w,-0.06356537170513916
GTITL2YR_diff_accel_52w,-0.061199613017126765
ECSURPUS_diff_104w,-0.06101173989811729
EONIA_diff_accel_104w,-0.06023969291534909
GTDEM30Y_diff_accel_52w,-0.05885442696823006
GTGBP2Y_diff_accel_4w,-0.05729884276800171
GTJPY2YR_diff_accel_104w,-0.055220863346139334
GTITL2YR_diff_1w,-0.05515246112556352
GTDEM2Y_diff_accel_4w,-0.05175478429370816
GTDEM10Y_diff_accel_12w,-0.049819361406995
GTJPY10YR_diff_accel_12w,-0.04966973848849148
USGG3M_diff_accel_12w,-0.04877972937054782
GTITL2YR_diff_4w,-0.04828049268213014
GTITL2YR_diff_accel_4w,-0.04616929611153307
GTJPY10YR_diff_accel_52w,-0.044744278070122934
ECSURPUS_diff_accel_52w,-0.044051772571327134
GTDEM30Y_diff_accel_12w,-0.04186352919487653
USGG3M_diff_accel_52w,-0.04112119824200553
EONIA_diff_1w,-0.04093139806268506
GTITL2YR_diff_accel_12w,-0.03846690634618578
GTJPY2YR_diff_accel_26w,-0.037373346241449903
GTDEM10Y_diff_accel_4w,-0.03371556416826887
USGG3M_diff_accel_26w,-0.030786662587823626
GTJPY2YR_diff_accel_4w,-0.03045840770450527
EONIA_diff_104w,-0.029309522093198037
EONIA_diff_accel_52w,-0.026430997899699316
ECSURPUS_diff_accel_26w,0.026360687660402983
GTJPY2YR_diff_accel_52w,-0.025993397020424015
GTITL2YR_diff_26w,-0.025325007771331332
EONIA_diff_accel_4w,0.02503930574237205
GTJPY10YR_diff_accel_4w,-0.024728633915467122
ECSURPUS_diff_52w,-0.024171771727213725
GTDEM30Y_diff_accel_4w,-0.02309912340246898
USGG3M_diff_accel_4w,-0.02234322584871682
ECSURPUS_diff_12w,-0.0215217276470037
EONIA_diff_accel_26w,-0.021353502963437933
ECSURPUS_diff_4w,0.02041394256821107
ECSURPUS_diff_accel_104w,0.020336101010768746
ECSURPUS_diff_accel_12w,0.020288160692764363
EONIA_diff_accel_12w,-0.019911995465727486
ECSURPUS_diff_accel_4w,-0.016112184964144318
GTJPY2YR_diff_accel_12w,-0.015985759093568093
GTITL2YR_diff_12w,-0.006155925286639005
ECSURPUS_diff_1w,0.004575768126455735
GTITL2YR_diff_accel_26w,-0.001928107034084604
